"Carimbo de data/hora","Digite seu Nick","Selecione sua classe","Digite seu IP","Você tem MOR?"
"2025/02/26 9:23:05 AM GMT-3","Teu pai mlk","Quebra-Reinos","2600","Não"
"2025/02/26 9:24:22 AM GMT-3","Programudinho","Arcano Elevado","1500","Sim"
"2025/02/26 9:24:42 AM GMT-3","Yololo","Raiz Férrea","Abestado","Não"
"2025/02/26 9:30:52 AM GMT-3","Apoteca","Off Tank","1883","Não"
"2025/02/26 9:31:09 AM GMT-3","Pappalegas","Off Tank","Abestado 123","Sim"
"2025/02/26 9:31:35 AM GMT-3","Popai","Off Tank","1448","Sim"
"2025/02/26 9:31:50 AM GMT-3","OPalanga","Off Tank","1231823","Não"
"2025/02/26 9:32:11 AM GMT-3","900ze","Off Tank","2000","Não"
"2025/02/26 9:32:46 AM GMT-3","Pato","Off Tank","1764","Sim"
"2025/02/26 9:41:06 AM GMT-3","Fella","Off Tank","1500","Não"
"2025/02/26 9:43:16 AM GMT-3","SuibianBrat ","Main Healer","2060","Não"
"2025/02/26 9:48:18 AM GMT-3","phintão","Off Tank","2800","Sim"
